epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29707,1.41151,5.20986,1.51851,0,0,0,0,1.22568,5.24802,1.31762,7.69e-06,7.69e-06,7.69e-06
2,13.1044,2.85987,8.22195,2.00431,0,0,0,0,1.20216,5.23484,1.30813,2.26132e-05,2.26132e-05,2.26132e-05
3,18.4933,1.67673,5.06235,1.71568,0,0,0,0,1.09163,5.23367,1.26304,3.69274e-05,3.69274e-05,3.69274e-05
4,23.6602,1.21489,4.89813,1.26146,0,0,0,0,1.06885,5.17295,1.24746,5.06325e-05,5.06325e-05,5.06325e-05
5,28.9486,0.87205,4.71732,0.99563,0,0,0,0,1.06878,5.17825,1.21527,6.37286e-05,6.37286e-05,6.37286e-05
6,34.1531,1.35598,4.63465,1.29875,0,0,0,0,1.13685,5.21281,1.2129,7.62156e-05,7.62156e-05,7.62156e-05
7,39.4346,0.73123,4.87711,0.97416,0,0,0,0,1.185,5.20034,1.20925,8.80936e-05,8.80936e-05,8.80936e-05
8,44.7733,1.16742,4.54433,1.06706,0,0,0,0,1.22487,5.19739,1.20323,9.93625e-05,9.93625e-05,9.93625e-05
9,50.049,0.65697,4.8022,0.9723,0.00118,0.11905,0.00285,0.00198,1.27238,5.21903,1.22356,0.000110022,0.000110022,0.000110022
10,55.2725,0.65768,4.43092,0.97883,0.00328,0.57143,0.1098,0.07571,1.29234,5.17129,1.21676,0.000120073,0.000120073,0.000120073
11,60.3778,0.85429,4.11045,0.95284,0.00412,0.60714,0.18506,0.14155,1.19903,5.15604,1.12051,0.000129515,0.000129515,0.000129515
12,65.4579,1.14245,4.29487,1.00839,0.00539,0.80952,0.22919,0.17775,1.09123,4.85148,1.03346,0.000138348,0.000138348,0.000138348
13,70.5506,0.46271,6.14873,0.51983,0.00671,0.92857,0.20947,0.16479,1.04097,4.73216,0.99263,0.000146571,0.000146571,0.000146571
14,75.6958,1.09741,4.31484,1.28479,0.00708,0.96429,0.24322,0.1845,1.00455,4.66069,0.95876,0.000154186,0.000154186,0.000154186
15,80.8509,0.84206,4.03232,0.91666,0.00679,0.96429,0.26665,0.19474,0.98923,4.55791,0.94915,0.000161192,0.000161192,0.000161192
16,86.1734,0.72747,3.82216,0.77672,0.00699,1,0.27554,0.20018,0.95573,4.51873,0.94222,0.000167588,0.000167588,0.000167588
17,91.3543,0.61374,3.65871,0.92034,0.00671,1,0.27301,0.20593,0.89765,4.45642,0.92899,0.000173376,0.000173376,0.000173376
18,97.4968,0.79463,4.10217,0.84355,0.00652,1,0.26757,0.20213,0.84948,4.39403,0.92219,0.000178554,0.000178554,0.000178554
19,103.902,0.59082,3.81225,0.8674,0.00645,1,0.32259,0.23613,0.88316,4.35793,0.91381,0.000183124,0.000183124,0.000183124
20,109.887,0.89776,2.64405,0.9349,0.00649,1,0.35393,0.25429,0.92916,4.33604,0.91692,0.000187084,0.000187084,0.000187084
21,115.662,0.56055,3.29703,0.7241,0.00656,1,0.36407,0.24608,0.99882,4.28766,0.92859,0.000190435,0.000190435,0.000190435
22,121.107,0.85864,2.73484,0.8298,0.00685,1,0.36718,0.2336,1.04436,4.27454,0.94413,0.000193177,0.000193177,0.000193177
23,126.361,0.8482,3.46971,0.89087,0.00714,1,0.36228,0.23355,1.04117,4.28152,0.93906,0.000195311,0.000195311,0.000195311
