epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7812,1.48816,26.1854,1.63347,0,0,0,0,1.46546,26.7162,1.78746,1.538e-05,1.538e-05,1.538e-05
2,72.249,2.23833,24.1885,2.17662,0.45283,0.14286,0.02843,0.00569,1.48226,30.599,1.78722,3.80693e-05,3.80693e-05,3.80693e-05
3,116.375,1.49159,11.6719,1.57219,0,0,0,0,1.42902,40.9247,1.74705,6.03019e-05,6.03019e-05,6.03019e-05
4,152.175,1.4037,9.0627,1.28383,0,0,0,0,1.3145,56.3151,1.61922,8.20777e-05,8.20777e-05,8.20777e-05
5,187.369,0.95404,9.18441,1.15478,0,0,0,0,1.21161,56.3925,1.55629,0.000103397,0.000103397,0.000103397
6,220.19,1.17186,6.07929,1.25282,0,0,0,0,1.09599,43.5636,1.49175,0.000124259,0.000124259,0.000124259
7,251.702,0.99838,8.42449,1.2137,0,0,0,0,1.08291,36.4433,1.46116,0.000144664,0.000144664,0.000144664
8,286.507,0.89621,5.16084,1.03719,0,0,0,0,1.03954,30.5098,1.40867,0.000164613,0.000164613,0.000164613
9,318.78,0.76072,5.36635,1.05218,0.00788,0.03571,0.03636,0.02545,1.05725,21.8884,1.36549,0.000184105,0.000184105,0.000184105
10,350.282,0.92942,7.8151,1.15172,0.40064,0.03571,0.03836,0.02379,1.0911,16.6164,1.36121,0.00020314,0.00020314,0.00020314
11,382.791,0.92114,5.83514,1.08935,0.46085,0.03571,0.01131,0.00688,1.07022,13.8094,1.34895,0.000221718,0.000221718,0.000221718
12,414.833,1.03789,5.31199,1.28024,0.64234,0.03545,0.01932,0.01362,1.04858,12.2374,1.30638,0.00023984,0.00023984,0.00023984
13,447.018,0.6455,12.8004,0.76624,0.21832,0.1024,0.06656,0.05569,0.96158,10.6648,1.21057,0.000257504,0.000257504,0.000257504
14,480.915,0.918,4.99935,1.11544,0.59795,0.07143,0.08797,0.07785,0.93873,9.95927,1.15426,0.000274712,0.000274712,0.000274712
